date,daily_return,num_stocks,nav,peak,drawdown
2021-03-12,0.022413163527765848,30,1.6106389881527243,1.7075765435656227,-0.05676908351673727
2021-03-15,-0.004577682142007766,30,1.603265994819436,1.7075765435656227,-0.061086894838912345
2021-03-16,0.007687535217066566,30,1.615591158616936,1.7075765435656227,-0.053868967277221014
2021-03-17,-0.007614360937487308,30,1.6032894644078133,1.7075765435656227,-0.06107315045452992
2021-03-18,0.007878532907685361,30,1.6159210332136955,1.7075765435656227,-0.05367578437247657
2021-03-19,-0.01640499603184989,30,1.589411855076042,1.7075765435656227,-0.06920022937468953
2021-03-22,0.018311103066698857,30,1.6185157393697727,1.7075765435656227,-0.052156258840309735
2021-03-23,-0.017322684938837894,30,1.5904787011481198,1.7075765435656227,-0.06857545733966845
2021-03-24,-0.020721713354570338,30,1.5575212574063793,1.7075765435656227,-0.08787616972408756
2021-03-25,-0.0020191453549508686,30,1.55437639559425,1.7075765435656227,-0.08971788031912913
2021-03-26,0.016451817629647897,30,1.579948712582396,1.7075765435656227,-0.07474208489461007
2021-03-29,0.004729090426829992,30,1.5874204329139519,1.7075765435656227,-0.07036645654593651
2021-03-30,0.008778103758178482,30,1.601354974181923,1.7075765435656227,-0.062206036844413656
2021-03-31,0.00212716897364338,30,1.6047613267987921,1.7075765435656227,-0.06021119062231916
2021-04-01,0.0005389295449090207,30,1.6056261800903313,1.7075765435656227,-0.05970471066697071
2021-04-02,-0.008532933200432554,30,1.5919254791507549,1.7075765435656227,-0.0677281875595308
2021-04-06,0.002421248698186521,30,1.5957799266447585,1.7075765435656227,-0.06547092564730338
2021-04-07,0.0036381552346857063,30,1.6015856217382878,1.7075765435656227,-0.06207096380348098
2021-04-08,0.0021403180083459502,30,1.605013524286402,1.7075765435656227,-0.060063497396759064
2021-04-09,-0.005122720479729352,30,1.5967914886352974,1.7075765435656227,-0.06487852936828996
2021-04-12,0.0015675870638522642,30,1.5992945983165516,1.7075765435656227,-0.0634126450477971
2021-04-13,-0.005887874099843671,30,1.5898781530731037,1.7075765435656227,-0.06892715347726132
2021-04-14,0.0010990861198352244,30,1.5916255660833756,1.7075765435656227,-0.0679038242350927
2021-04-15,-0.002277567891633122,30,1.5880005307985616,1.7075765435656227,-0.0700267365569289
2021-04-16,0.008159395896509913,30,1.6009576558132148,1.7075765435656227,-0.06243871652732767
2021-04-19,0.007549771499832725,30,1.6130445202955124,1.7075765435656227,-0.05536034307001913
2021-04-20,-0.001475580302929036,30,1.6106643435736168,1.7075765435656227,-0.056754234741150614
2021-04-21,-0.001970192584887998,30,1.6074910246271645,1.7075765435656227,-0.058612610553590606
2021-04-22,-0.0015224487954100879,30,1.6050437018530883,1.7075765435656227,-0.06004582465066758
2021-04-23,0.00020712916431889385,30,1.6053761532137485,1.7075765435656227,-0.05985113272782939
2021-04-26,-0.0011399054769974607,30,1.603546176144059,1.7075765435656227,-0.06092281357082589
2021-04-27,-0.0026293125191637736,30,1.5993299521080664,1.7075765435656227,-0.06339194097356514
2021-04-28,0.006666868155803351,30,1.609992474036398,1.7075765435656227,-0.0571476985303731
2021-04-29,0.010210382186537715,30,1.6264311125137592,1.7075765435656227,-0.04752081618691146
2021-04-30,0.002818513638789534,30,1.6310152307869308,1.7075765435656227,-0.044836240616671165
2021-05-06,0.0048370630084481015,30,1.6389045542259855,1.7075765435656227,-0.040216053329147974
2021-05-07,-0.00415127114072665,30,1.6321010170476216,1.7075765435656227,-0.044200376728295465
2021-05-10,0.001969532305158228,30,1.6353154927259785,1.7075765435656227,-0.04231789849300373
2021-05-11,0.00035181583527696186,30,1.6358908226119933,1.7075765435656227,-0.04198097076453226
2021-05-12,0.005290397253699678,30,1.6445453349272923,1.7075765435656227,-0.036912669523272906
2021-05-13,-0.004830515512290268,30,1.6366013331762614,1.7075765435656227,-0.04156487781283093
2021-05-14,0.017112569861928325,30,1.6646077878263652,1.7075765435656227,-0.025163589826277213
2021-05-17,0.004727998366227156,30,1.6724780507276173,1.7075765435656227,-0.020554564871637055
2021-05-18,0.0030713822300153736,30,1.6776148700927132,1.7075765435656227,-0.01754631356691398
2021-05-19,-0.0014403458954858248,30,1.675198524400369,1.7075765435656227,-0.018961386701672814
2021-05-20,-0.0036516255389272946,30,1.6690813266858955,1.7075765435656227,-0.022543772356666745
2021-05-21,0.0013472231030604352,30,1.6713299516100935,1.7075765435656227,-0.02122692074455536
2021-05-24,0.004410730702796943,30,1.6787017379421643,1.7075765435656227,-0.016909816272812246
2021-05-25,0.013734461464330952,30,1.701757802272036,1.7075765435656227,-0.0034076020284492738
2021-05-26,-0.0013729260464350004,30,1.6994214146605728,1.7075765435656227,-0.004775849689303533
2021-05-27,0.00506504292208377,30,1.708029057068537,1.708029057068537,0.0
2021-05-28,0.0055435862345213985,30,1.7174976634374648,1.7174976634374648,0.0
2021-05-31,0.0053144464292437365,30,1.7266252127621546,1.7266252127621546,0.0
2021-06-01,-0.002796951262005613,30,1.7217959261943088,1.7266252127621546,-0.0027969512620056427
2021-06-02,-0.006667588394194642,30,1.7103156996596438,1.7266252127621546,-0.009445890736426708
2021-06-03,-0.0021997681082745026,30,1.7065534017284514,1.7266252127621546,-0.011624880075504945
2021-06-04,0.001074156236756048,30,1.708386506708275,1.7266252127621546,-0.01056321077618364
2021-06-07,-0.003927637823408136,30,1.7016765832475276,1.7266252127621546,-0.014449360133410595
2021-06-08,-0.004426924266341788,30,1.6941433898876834,1.7266252127621546,-0.018812318176744725
2021-06-09,0.0022462102783174583,30,1.6979487921829926,1.7266252127621546,-0.01660836432087495
2021-06-10,0.006819681711473413,30,1.7095282625080612,1.7266252127621546,-0.009901946367818123
2021-06-11,-0.007274494298838948,30,1.6970923089087422,1.7266252127621546,-0.017104409014257024
2021-06-15,-0.006835557597560038,30,1.6854917366828204,1.7266252127621546,-0.023823048438827855
2021-06-16,-0.010225891706271039,30,1.668256080711687,1.7266252127621546,-0.033805328231650236
2021-06-17,0.003049046312999604,30,1.67334267076372,1.7266252127621546,-0.030859355930055208
2021-06-18,0.006848781620716322,30,1.684803029292407,1.7266252127621546,-0.024221923299059755
2021-06-21,-0.0038578699361148253,30,1.6783032783374248,1.7266252127621546,-0.027986348205484183
2021-06-22,0.0034090612918648263,30,1.6840247170796148,1.7266252127621546,-0.024672694089987297
2021-06-23,0.011925301130840282,30,1.7041072189425672,1.7266252127621546,-0.013041622265879248
2021-06-24,0.001957900064637393,30,1.707443690576684,1.7266252127621546,-0.011109256394319094
2021-06-25,0.009657980932832514,30,1.7239341491841589,1.7266252127621546,-0.0015585684479208716
2021-06-28,-0.005735218312168533,30,1.7140470104827852,1.7266252127621546,-0.007284848029786139
2021-06-29,-0.004000313243846672,30,1.7071902855261751,1.7266252127621546,-0.01125601959957983
2021-06-30,0.007193811821726849,30,1.7194714911841307,1.7266252127621546,-0.0041431814647139645
2021-07-01,-0.006819196670685931,30,1.7077460769161084,1.7266252127621546,-0.010934124966149738
2021-07-02,-0.009800623049980646,30,1.6910091013511703,1.7266252127621546,-0.020627586778955768
2021-07-05,0.006902878841637908,30,1.7026819322979043,1.7266252127621546,-0.01386709766964844
2021-07-06,-0.00520156404814673,30,1.6938253231734346,1.7266252127621546,-0.018996531121104554
2021-07-07,0.009444740024629986,30,1.7098230629979427,1.7266252127621546,-0.009731208394283089
2021-07-08,-0.007300632458435293,30,1.6973402732460388,1.7266252127621546,-0.01696079687685525
2021-07-09,-0.002153420143884355,30,1.6936851865106046,1.7266252127621546,-0.019077693299088615
2021-07-12,0.012794483195950002,30,1.715355013168644,1.7266252127621546,-0.006527299329471339
2021-07-13,-0.0015753717128259015,30,1.712652691403444,1.7266252127621546,-0.008092388119572467
2021-07-14,-0.011078503938038456,30,1.6936790618172386,1.7266252127621546,-0.019081240503960154
2021-07-15,0.00981589163227566,30,1.710304031947891,1.7266252127621546,-0.009452648260680681
2021-07-16,-0.008076114936462871,30,1.696491420009584,1.7266252127621546,-0.017452422523336363
2021-07-19,-0.004294092383387357,30,1.6892065291244387,1.7266252127621546,-0.021671572592094672
2021-07-20,0.0002986127878702488,30,1.6897109477953893,1.7266252127621546,-0.021379431212933588
2021-07-21,0.01268790206104144,30,1.711149834812487,1.7266252127621546,-0.0089627892812425
2021-07-22,0.00970924964360921,30,1.7277638157363022,1.7277638157363022,0.0
2021-07-23,-0.001627544507376618,30,1.7249518032279567,1.7277638157363022,-0.0016275445073765146
2021-07-26,-0.006896909490363257,30,1.7130549667658546,1.7277638157363022,-0.008513228970580886
2021-07-27,-0.0263966139107126,30,1.6678361162003077,1.7277638157363022,-0.03468512246302357
2021-07-28,-0.0038905124899343644,30,1.661347378959067,1.7277638157363022,-0.03844069205080055
2021-07-29,0.015739993893303647,30,1.6874969765585386,1.7277638157363022,-0.02330575441563091
2021-07-30,0.005667981595853956,30,1.6970616783647317,1.7277638157363022,-0.0177698694068822
2021-08-02,0.00710200379200306,30,1.709114216839741,1.7277638157363022,-0.010794067294790204
2021-08-03,-0.016028583298672745,30,1.6817195372481795,1.7277638157363022,-0.02664963698669692
2021-08-04,0.01118651547212222,30,1.7005321188713765,1.7277638157363022,-0.01576123809105282
2021-08-05,0.0017339233974731471,30,1.7034807113004422,1.7277638157363022,-0.014054643473078842
2021-08-06,0.003668463143697805,30,1.709729867505848,1.7277638157363022,-0.010437739270959782
2021-08-09,0.0026415682221906114,30,1.7142462355923815,1.7277638157363022,-0.00782374304913895
2021-08-10,-0.005989601384787272,30,1.703978583965811,1.7277638157363022,-0.013766483331724885
2021-08-11,0.0042720182089093705,30,1.7112580115041045,1.7277638157363022,-0.009553275790281335
2021-08-12,0.0034143055884832203,30,1.7171007692961195,1.7277638157363022,-0.006171588004717256
2021-08-13,-0.008289055731715156,30,1.702867625322453,1.7277638157363022,-0.014409487099508114
2021-08-16,-0.0060416016892652635,30,1.6925795774007097,1.7277638157363022,-0.020364032407171575
2021-08-17,-0.006787244540949015,30,1.681091625903875,1.7277638157363022,-0.02701306128033326
2021-08-18,0.018691923196302154,30,1.7125144614612169,1.7277638157363022,-0.008826064150780173
2021-08-19,0.011787571533513331,30,1.7327008481778672,1.7327008481778672,0.0
2021-08-20,-0.0007960591927983595,30,1.7313215157393056,1.7327008481778672,-0.0007960591927984063
2021-08-23,0.020835072698145583,30,1.7673937253835978,1.7673937253835978,0.0
2021-08-24,0.006430549337727342,30,1.7787590379338667,1.7787590379338667,0.0
2021-08-25,0.00969190000624089,30,1.795998592664719,1.795998592664719,0.0
2021-08-26,-0.00358787699272692,30,1.7895547706351274,1.795998592664719,-0.0035878769927269382
2021-08-27,0.016003728624338538,30,1.8181943195427626,1.8181943195427626,0.0
2021-08-30,0.006957724268807204,30,1.8308448142852527,1.8308448142852527,0.0
2021-08-31,0.02021402564035918,30,1.8678535583047333,1.8678535583047333,0.0
2021-09-01,0.00840347515791316,30,1.883550019280567,1.883550019280567,0.0
2021-09-02,0.020188135289429414,30,1.9215753818942103,1.9215753818942103,0.0
2021-09-03,-0.008378425220046178,30,1.905475606252328,1.9215753818942103,-0.008378425220046202
2021-09-06,0.013473986037865156,30,1.9311499579664646,1.9311499579664646,0.0
