code,date,score,rank
603799,2017-11-30,0.5326041778977996,24
625,2017-11-30,0.530585934875541,25
603501,2017-11-30,0.5275991458086455,26
600489,2017-11-30,0.5198531991155608,27
600188,2017-11-30,0.5190454665111667,28
601857,2017-11-30,0.5020824266477867,29
600276,2017-11-30,0.49851014178900094,30
600023,2017-12-29,0.9799097433886175,1
601618,2017-12-29,0.955947141582907,2
601985,2017-12-29,0.9121056423344301,3
600015,2017-12-29,0.8894807947083389,4
600674,2017-12-29,0.8502673156503285,5
166,2017-12-29,0.8178472995935966,6
600000,2017-12-29,0.7945150347644784,7
603501,2017-12-29,0.7554194876390067,8
601669,2017-12-29,0.728796053315504,9
601012,2017-12-29,0.7166264431771721,10
2371,2017-12-29,0.706287537186884,11
600346,2017-12-29,0.682625771434378,12
601857,2017-12-29,0.6736553735688323,13
2001,2017-12-29,0.6631371892306984,14
600900,2017-12-29,0.6479470062931663,15
600741,2017-12-29,0.644672461270117,16
300274,2017-12-29,0.6302006253407407,17
600886,2017-12-29,0.6137301593366021,18
600221,2017-12-29,0.6062263908595641,19
601998,2017-12-29,0.5944128542460955,20
600196,2017-12-29,0.5877620316163792,21
600489,2017-12-29,0.5859528323244034,22
600547,2017-12-29,0.5849563626182382,23
625,2017-12-29,0.5784643120667977,24
601211,2017-12-29,0.5779300501924477,25
601788,2017-12-29,0.5677313257016653,26
2714,2017-12-29,0.5463781806229612,27
600011,2017-12-29,0.5451506673506156,28
2422,2017-12-29,0.5332013711781957,29
600176,2017-12-29,0.530929642226965,30
601985,2018-01-31,1.099691065241462,1
600900,2018-01-31,1.0418232000295278,2
625,2018-01-31,0.9997025399627013,3
600346,2018-01-31,0.950716235751616,4
600015,2018-01-31,0.9104338006621787,5
2001,2018-01-31,0.8614518981576623,6
600023,2018-01-31,0.8597482959157925,7
601669,2018-01-31,0.8306757407953342,8
601898,2018-01-31,0.8065754577110913,9
600026,2018-01-31,0.8022189582212542,10
601360,2018-01-31,0.7831390608229896,11
601169,2018-01-31,0.7497053135311903,12
600039,2018-01-31,0.7433437722533717,13
600027,2018-01-31,0.7431045039324226,14
600674,2018-01-31,0.7115993588495617,15
601390,2018-01-31,0.6890130979271376,16
166,2018-01-31,0.6462327677365648,17
600886,2018-01-31,0.6242177815701465,18
600919,2018-01-31,0.6100322216016175,19
2142,2018-01-31,0.5941516794809906,20
2493,2018-01-31,0.5818494325073894,21
601788,2018-01-31,0.5800350519471902,22
601186,2018-01-31,0.569686023823309,23
601888,2018-01-31,0.5676012315989476,24
600547,2018-01-31,0.559816198090136,25
600104,2018-01-31,0.556915414436085,26
600426,2018-01-31,0.5546868997882406,27
601211,2018-01-31,0.5480465722777886,28
600489,2018-01-31,0.5410885960582624,29
601009,2018-01-31,0.5083745043208854,30
600900,2018-02-28,1.375137355681333,1
601669,2018-02-28,1.2070326410274517,2
601018,2018-02-28,1.1596953013676152,3
600588,2018-02-28,1.109855055523116,4
601985,2018-02-28,1.103734672644179,5
600886,2018-02-28,1.0720983551217482,6
2493,2018-02-28,0.9977305930918708,7
603799,2018-02-28,0.9745615435236146,8
625,2018-02-28,0.8783323643559408,9
601888,2018-02-28,0.8696007395817952,10
600039,2018-02-28,0.8614625883134418,11
600027,2018-02-28,0.8341228376528887,12
600104,2018-02-28,0.8102971987096055,13
600346,2018-02-28,0.8015628399909706,14
600795,2018-02-28,0.7720567296089911,15
601360,2018-02-28,0.7544635702396385,16
600023,2018-02-28,0.7470419562101669,17
600674,2018-02-28,0.7368592526128633,18
600426,2018-02-28,0.6794681352781563,19
166,2018-02-28,0.6650581668859363,20
600845,2018-02-28,0.6589440513531769,21
601169,2018-02-28,0.6133596005811708,22
601058,2018-02-28,0.608694559060793,23
301,2018-02-28,0.5987958217450168,24
600066,2018-02-28,0.5819290003551273,25
300015,2018-02-28,0.5431260319045627,26
600011,2018-02-28,0.5411754936685591,27
601633,2018-02-28,0.5339588663169129,28
2142,2018-02-28,0.5178639178345791,29
300124,2018-02-28,0.5122620218149004,30
600900,2018-03-30,1.3365208372279616,1
600886,2018-03-30,1.2458073355781787,2
601985,2018-03-30,1.1678194929148693,3
157,2018-03-30,1.1576152911713173,4
601018,2018-03-30,1.146785195679101,5
166,2018-03-30,0.9786714581933639,6
601169,2018-03-30,0.9714595247210619,7
600276,2018-03-30,0.920162861770104,8
2422,2018-03-30,0.9102012285537775,9
600023,2018-03-30,0.9053708878952831,10
600085,2018-03-30,0.8023444069350346,11
600795,2018-03-30,0.7955163613465444,12
600015,2018-03-30,0.7951126140792182,13
300015,2018-03-30,0.7874155529680861,14
601669,2018-03-30,0.7820935878540434,15
301,2018-03-30,0.7757265346278746,16
600845,2018-03-30,0.7627654154470972,17
600104,2018-03-30,0.7128840616162023,18
300316,2018-03-30,0.6970421299239332,19
625,2018-03-30,0.6866809632937523,20
600027,2018-03-30,0.6757572624682778,21
600436,2018-03-30,0.6701137929306258,22
600011,2018-03-30,0.6557112522092882,23
2371,2018-03-30,0.6421775914472478,24
601229,2018-03-30,0.639652931387316,25
600674,2018-03-30,0.6290401158117985,26
601390,2018-03-30,0.6276402604406778,27
963,2018-03-30,0.6226298745713628,28
600482,2018-03-30,0.6209668985837604,29
601360,2018-03-30,0.6117972973924796,30
600900,2018-04-27,1.3052793858860945,1
601985,2018-04-27,1.1771356383391007,2
157,2018-04-27,1.1606974029227497,3
601169,2018-04-27,1.0847897557019524,4
600886,2018-04-27,1.0190983253637713,5
166,2018-04-27,1.0185683691646272,6
2422,2018-04-27,0.956572412550584,7
601018,2018-04-27,0.9534302632574168,8
600000,2018-04-27,0.9121153976583397,9
600674,2018-04-27,0.8939649518066064,10
600015,2018-04-27,0.8421015388544141,11
600406,2018-04-27,0.83260745348753,12
600023,2018-04-27,0.8147385650477643,13
601390,2018-04-27,0.7985006931171673,14
300015,2018-04-27,0.790643635470281,15
601360,2018-04-27,0.7789410696417359,16
600795,2018-04-27,0.7650662484462711,17
300122,2018-04-27,0.7570214968887384,18
601669,2018-04-27,0.7404855639894791,19
600919,2018-04-27,0.7381106969741652,20
601229,2018-04-27,0.7352723494425778,21
2371,2018-04-27,0.709984327739733,22
600085,2018-04-27,0.6966677261784122,23
600039,2018-04-27,0.6809347830795168,24
600276,2018-04-27,0.6741036895787237,25
600436,2018-04-27,0.6523291542121342,26
600482,2018-04-27,0.6454479851947927,27
600027,2018-04-27,0.6322561617833083,28
988,2018-04-27,0.6023290072206074,29
600845,2018-04-27,0.5965434084574425,30
600900,2018-05-31,1.4146799212492975,1
601229,2018-05-31,1.2418515584113778,2
157,2018-05-31,1.1536832665451753,3
600674,2018-05-31,1.1230484190327594,4
600015,2018-05-31,1.091152044562538,5
600886,2018-05-31,1.0128846696668614,6
600919,2018-05-31,0.9879279400120661,7
601018,2018-05-31,0.970791493878759,8
601169,2018-05-31,0.9543684905203658,9
2353,2018-05-31,0.9239096517924853,10
2422,2018-05-31,0.8872503807009977,11
300122,2018-05-31,0.8422288151569775,12
600346,2018-05-31,0.8309138089371914,13
600104,2018-05-31,0.8227138928842067,14
166,2018-05-31,0.815537082686684,15
600085,2018-05-31,0.8063365210964434,16
601727,2018-05-31,0.8015079948415323,17
601607,2018-05-31,0.797669165095933,18
600926,2018-05-31,0.7822190964994838,19
600023,2018-05-31,0.7694564857657881,20
603369,2018-05-31,0.7687430456244998,21
601888,2018-05-31,0.7663640282932073,22
601360,2018-05-31,0.7505568798225992,23
600600,2018-05-31,0.7305547914170624,24
630,2018-05-31,0.726789356904115,25
300498,2018-05-31,0.7121132351972941,26
601985,2018-05-31,0.697141485786395,27
600795,2018-05-31,0.6948208624380635,28
600011,2018-05-31,0.6574556943483673,29
963,2018-05-31,0.6565695240943492,30
601229,2018-06-29,1.5335573633545085,1
157,2018-06-29,1.3654982582402486,2
600900,2018-06-29,1.1092201482708373,3
600926,2018-06-29,1.1082239824606164,4
600015,2018-06-29,1.055722756137824,5
603369,2018-06-29,1.0383753431896394,6
600104,2018-06-29,1.0275964314323032,7
300122,2018-06-29,0.9949339852365152,8
601998,2018-06-29,0.9874570262997017,9
600674,2018-06-29,0.9819420075128878,10
601669,2018-06-29,0.96252554610586,11
600886,2018-06-29,0.9492388495150447,12
601901,2018-06-29,0.9288139860441978,13
600919,2018-06-29,0.918470093944761,14
601186,2018-06-29,0.8948647459038482,15
601888,2018-06-29,0.8931091810358964,16
600660,2018-06-29,0.891278371999181,17
600362,2018-06-29,0.8685962755222922,18
600795,2018-06-29,0.8540595494534541,19
601898,2018-06-29,0.8171069790998892,20
2371,2018-06-29,0.7698113317155375,21
601169,2018-06-29,0.751428662873315,22
600436,2018-06-29,0.7393267525751871,23
776,2018-06-29,0.7225720441257376,24
2142,2018-06-29,0.7187314061803045,25
600023,2018-06-29,0.7100151551678741,26
600018,2018-06-29,0.7017680106323715,27
601328,2018-06-29,0.6916364519873971,28
2422,2018-06-29,0.6687127455057297,29
600000,2018-06-29,0.6643730513510167,30
157,2018-07-31,1.5178643336146587,1
600900,2018-07-31,1.5008182676001303,2
600015,2018-07-31,1.3585216212589666,3
600886,2018-07-31,1.352058329215149,4
600000,2018-07-31,1.253343811717116,5
776,2018-07-31,1.2307690224905137,6
2142,2018-07-31,1.1643130306668648,7
601888,2018-07-31,1.1281235535580216,8
600011,2018-07-31,1.0570741587069163,9
600660,2018-07-31,1.0071259812905833,10
601998,2018-07-31,1.005258167600223,11
600919,2018-07-31,0.9736960329850858,12
600027,2018-07-31,0.9112207870145411,13
300408,2018-07-31,0.9070901770309652,14
600674,2018-07-31,0.9045581662793745,15
601669,2018-07-31,0.9019557954093825,16
600018,2018-07-31,0.8856892969844585,17
166,2018-07-31,0.8850901637466464,18
601985,2018-07-31,0.8509197729926612,19
601166,2018-07-31,0.8471362648864557,20
600795,2018-07-31,0.816178394203884,21
601169,2018-07-31,0.8121571571724701,22
600009,2018-07-31,0.8021551429474477,23
601336,2018-07-31,0.795484398275796,24
601901,2018-07-31,0.793849546767624,25
2353,2018-07-31,0.7931630006998471,26
600104,2018-07-31,0.782154552141105,27
600023,2018-07-31,0.7780480482915563,28
300498,2018-07-31,0.7531607151851656,29
2371,2018-07-31,0.7437222943532488,30
776,2018-08-31,1.4819547612498287,1
600886,2018-08-31,1.4035101159291188,2
600900,2018-08-31,1.39438615150912,3
600919,2018-08-31,1.2411083777505763,4
157,2018-08-31,1.238789901991545,5
600000,2018-08-31,1.221700730329102,6
166,2018-08-31,1.1387438362592803,7
600015,2018-08-31,1.1146941025112065,8
601985,2018-08-31,1.0466201206768477,9
2371,2018-08-31,1.035563173073039,10
601169,2018-08-31,1.0178775633717694,11
601898,2018-08-31,1.0013356542161178,12
601998,2018-08-31,0.9934877664690788,13
601857,2018-08-31,0.9425711194046463,14
600406,2018-08-31,0.9132412965134203,15
600674,2018-08-31,0.8917164956762452,16
601390,2018-08-31,0.8295569967763236,17
600660,2018-08-31,0.8287247357943555,18
601058,2018-08-31,0.8125842354885832,19
600018,2018-08-31,0.8099753149113741,20
601211,2018-08-31,0.8070320517582247,21
2142,2018-08-31,0.7889476161890853,22
601088,2018-08-31,0.7883052587935633,23
601618,2018-08-31,0.7595035982489139,24
600111,2018-08-31,0.7443968693414154,25
600803,2018-08-31,0.729791628202423,26
2353,2018-08-31,0.7138818196644628,27
600795,2018-08-31,0.7125173407071745,28
601901,2018-08-31,0.7101193078400497,29
600362,2018-08-31,0.7077182862239887,30
600900,2018-09-28,1.4844793766431783,1
601985,2018-09-28,1.2874053058611459,2
776,2018-09-28,1.2535797968313462,3
166,2018-09-28,1.2317415120416395,4
600886,2018-09-28,1.1425438991985264,5
601898,2018-09-28,1.0803626755039593,6
600000,2018-09-28,1.0625627435020266,7
157,2018-09-28,1.0590388057953246,8
2353,2018-09-28,1.0385445078561808,9
600406,2018-09-28,1.019969797443112,10
600919,2018-09-28,0.9910383579530757,11
600875,2018-09-28,0.9758666125024819,12
601857,2018-09-28,0.9681789208186476,13
600674,2018-09-28,0.9489859066268225,14
601169,2018-09-28,0.9062059640735612,15
601211,2018-09-28,0.8624909841771574,16
2142,2018-09-28,0.829725486354512,17
601058,2018-09-28,0.8221844859163582,18
601336,2018-09-28,0.8211836786577266,19
601872,2018-09-28,0.8021025887964274,20
600482,2018-09-28,0.8006843689718101,21
600415,2018-09-28,0.7999498652121549,22
630,2018-09-28,0.7824061985895816,23
300498,2018-09-28,0.777288579133482,24
600803,2018-09-28,0.7670482767628951,25
300122,2018-09-28,0.7656934918280589,26
600023,2018-09-28,0.7567906318704996,27
600489,2018-09-28,0.7537058304778214,28
600104,2018-09-28,0.7080977031623856,29
600026,2018-09-28,0.6872489796374369,30
600900,2018-10-31,1.5441503802767225,1
600926,2018-10-31,1.361588216054851,2
600919,2018-10-31,1.3493738957886336,3
600886,2018-10-31,1.3238029027081868,4
601229,2018-10-31,1.3146299622115427,5
600000,2018-10-31,1.285983620281945,6
601872,2018-10-31,1.2416329211655521,7
300498,2018-10-31,1.2028673679374955,8
601985,2018-10-31,1.1698052674104955,9
601169,2018-10-31,1.156944922673565,10
600795,2018-10-31,1.070653891411448,11
600674,2018-10-31,1.0661084138967314,12
601898,2018-10-31,1.0516080812407365,13
600406,2018-10-31,1.0322663078487975,14
601998,2018-10-31,1.0021639256569654,15
601328,2018-10-31,1.0010858632307753,16
600547,2018-10-31,0.9872737526660743,17
600089,2018-10-31,0.9762483388921203,18
601166,2018-10-31,0.9478264293748543,19
2142,2018-10-31,0.9061782567414731,20
600015,2018-10-31,0.8792072707681647,21
600027,2018-10-31,0.8720791372658535,22
600016,2018-10-31,0.8553887920782927,23
600026,2018-10-31,0.8534916666320226,24
157,2018-10-31,0.8414082142345346,25
601818,2018-10-31,0.8291016624330743,26
601058,2018-10-31,0.8163652222049174,27
601006,2018-10-31,0.7937844381960025,28
600023,2018-10-31,0.7786764295618002,29
601018,2018-10-31,0.7665573284332278,30
300498,2018-11-30,1.284759656942453,1
600150,2018-11-30,1.2840421811058633,2
600000,2018-11-30,1.282330236370182,3
600919,2018-11-30,1.2463134551893431,4
601169,2018-11-30,1.2358259654641146,5
600886,2018-11-30,1.1915124543560323,6
601998,2018-11-30,1.1789812457749766,7
600795,2018-11-30,1.1175536637805648,8
600900,2018-11-30,1.0947287359604223,9
600015,2018-11-30,1.0325227561026196,10
600547,2018-11-30,1.0299754644079877,11
600406,2018-11-30,1.0092334476008205,12
601328,2018-11-30,1.0076624630297797,13
600926,2018-11-30,1.0001821801360535,14
2594,2018-11-30,0.9881740392709343,15
600027,2018-11-30,0.9710534793682912,16
601166,2018-11-30,0.9621912166196696,17
601985,2018-11-30,0.9562314591313577,18
601229,2018-11-30,0.8797355741702043,19
601006,2018-11-30,0.8667775974925074,20
601872,2018-11-30,0.8542857206595166,21
600674,2018-11-30,0.8520847215093336,22
600023,2018-11-30,0.8128319090304602,23
600089,2018-11-30,0.8095473176141587,24
601818,2018-11-30,0.7946569696219404,25
2142,2018-11-30,0.7921615678194561,26
157,2018-11-30,0.7839965613341869,27
601766,2018-11-30,0.7550145372182961,28
600026,2018-11-30,0.7315937207624952,29
600016,2018-11-30,0.7279932523638738,30
600674,2018-12-28,1.446791687661162,1
600886,2018-12-28,1.39241241847973,2
600406,2018-12-28,1.3882681937536405,3
300498,2018-12-28,1.2894002014081392,4
600900,2018-12-28,1.2782874512259033,5
